location;region;n;e
Antoniew Żdżarów;Kujawsko-Pomorskie;52.2500;20.1833
Antoniewo;Kujawsko-Pomorskie;53.9000;17.6333
Antoniewo;Kujawsko-Pomorskie;52.9500;18.8000
Antoniewo;Mazowieckie;52.9000;19.9667
Antoniewo;Wielkopolskie;52.8500;16.4500
Antoniewo;Kujawsko-Pomorskie;52.4000;19.2833
Antonin;Podlaskie;52.6833;22.5500
Antonin;Mazowieckie;52.2000;21.7000
Antonin;Lubelskie;51.5833;22.4333
Antonin;Warmińsko-Mazurskie;53.8167;19.2000
Antonin;Wielkopolskie;52.1167;17.6167
Antonin;Wielkopolskie;51.5167;17.8500
Antonin Nowy;Lubelskie;51.5667;22.4167
antonin Stary;Lubelskie;51.5833;22.4500
Antonina;Mazowieckie;52.3333;21.7167
Antonina;Kujawsko-Pomorskie;51.3000;18.9500
Antonina;Śląskie;51.1500;19.1167
Antoninów;Kujawsko-Pomorskie;51.8667;20.4333
Antoninów;Kujawsko-Pomorskie;51.4333;20.1333
Antoninów;Mazowieckie;52.5000;19.5333
Antoninów;Kujawsko-Pomorskie;51.8667;19.0333
Antoniny;Wielkopolskie;53.0667;17.0667
Antoniów;Kujawsko-Pomorskie;51.4667;20.2000
Antoniów;Mazowieckie;51.2667;21.2333
Antoniów;Lubelskie;51.2333;22.8667
Antoniów;Kujawsko-Pomorskie;51.2167;20.1667
Antoniów;Mazowieckie;51.2000;21.4167
Antoniów;Mazowieckie;51.2000;20.7000
Antoniów;Świętokrzyskie;51.0500;21.5500
Antoniów;Podkarpackie;50.7167;21.9000
Antoniów;Kujawsko-Pomorskie;51.1333;19.5833
Antoniów;Śląskie;50.8833;18.6667
Antoniów;Opolskie;50.6833;18.1833
Antoniówka;Mazowieckie;51.6833;21.5000
Antoniówka;Lubelskie;51.5833;22.6667
Antoniówka;Mazowieckie;51.4333;21.5833
Antoniówka;Mazowieckie;51.4333;21.3000
Antoniówka;Kujawsko-Pomorskie;51.4167;20.1833
Antoniówka;Lubelskie;51.0667;22.7667
Antoniówka;Lubelskie;50.9667;22.9167
Antoniówka;Lubelskie;50.9167;22.7500
Antoniówka;Lubelskie;50.6500;23.4667
Antoniówka;Lubelskie;50.5667;23.3667
Antoniówka;Kujawsko-Pomorskie;51.4500;19.0333
Antoniówka;Kujawsko-Pomorskie;51.2167;19.2667
Antoniówka Nowa;Lubelskie;50.6667;23.4667
Antoniówka Stara;Lubelskie;50.6500;23.4833
Antoniuk;Podlaskie;53.1500;23.1500
Antonowo;Podlaskie;54.0667;21.7500
Antonówka;Lubelskie;51.1000;22.1000
Antopol;Lubelskie;51.6667;23.2500
Antopol;Kujawsko-Pomorskie;51.0833;19.5500
Antosin;Kujawsko-Pomorskie;52.2667;20.0833
Anusin;Podlaskie;52.3833;22.9167
Anusin;Mazowieckie;51.2167;21.6000
Anusin;Lubelskie;51.1833;23.1333
Anusin;Mazowieckie;52.1500;19.3167
Anusin;Kujawsko-Pomorskie;51.8167;18.9333
Anuszewo;Podlaskie;53.5333;21.7000
Aplinki;Pomorskie;53.7667;18.8333
Apolonka;Śląskie;50.7167;19.4833
Arbasy;Podlaskie;52.5167;22.5500
Arcelin;Mazowieckie;52.6500;20.3167
Archidiakonka;Kujawsko-Pomorskie;53.2000;18.6167
Arciechów;Mazowieckie;52.3667;20.1000
Arcugowo;Wielkopolskie;52.4500;17.7000
Ardapy;Warmińsko-Mazurskie;54.2333;20.7667
Arentowo;Wielkopolskie;53.1167;17.0500
Arkadia;Kujawsko-Pomorskie;52.0833;20.0000
Arkuszewo;Wielkopolskie;52.5333;17.6333
Arkuszewo;Wielkopolskie;52.3500;18.9333
Arkusżów;Świętokrzyskie;50.6667;21.1500
Arłamów;Podkarpackie;49.5833;22.6667
Arnoldowo;Kujawsko-Pomorskie;52.9667;17.9167
Arynów;Mazowieckie;52.2000;21.5333
Asuny;Warmińsko-Mazurskie;54.3333;21.4000
Atanazyn;Wielkopolskie;53.0500;17.1333
Ateny;Podlaskie;53.9500;23.0500
Augamy;Warmińsko-Mazurskie;54.3742;20.3669
Augustopol;Mazowieckie;52.3333;19.1000
Augustopol;Wielkopolskie;51.7500;16.6833
Augustowo;Mazowieckie;52.9000;20.3167
Augustowo;Podlaskie;52.7833;23.1333
Augustowo;Mazowieckie;52.7333;21.5833
Augustowo;Pomorskie;54.2500;17.8000
Augustowo;Kujawsko-Pomorskie;52.9167;17.9500
Augustowo;Wielkopolskie;52.1667;16.3500
Augustowo;Kujawsko-Pomorskie;52.0500;19.6000
Augustów;Podlaskie;53.8500;23.0000
Augustów;Mazowieckie;52.3333;21.0667
Augustów;Mazowieckie;51.7000;21.1833
Augustów;Mazowieckie;51.5333;21.4833
Augustów;Mazowieckie;51.4500;20.4667
Augustów;Kujawsko-Pomorskie;51.7500;19.5500
Augustów;Kujawsko-Pomorskie;51.4667;19.1500
Augustów;Kujawsko-Pomorskie;51.3000;19.0833
Augustówek;Mazowieckie;52.3500;21.0667
Augustówka;Mazowieckie;52.1938;21.0917
Augustówka;Mazowieckie;51.9833;21.4833
Augustynka;Podlaskie;52.4500;23.1500
Augustynki;Wielkopolskie;51.9333;16.6000
Augustynowo;Kujawsko-Pomorskie;52.4167;18.7667
Augustynów;Wielkopolskie;52.1333;17.8833
Augustynów;Wielkopolskie;52.0833;18.7500
Augustynów;Kujawsko-Pomorskie;51.3667;18.4000
Augustynów;Kujawsko-Pomorskie;51.3333;19.4333
Augustyny;Warmińsko-Mazurskie;54.1833;20.0667
Aulekowszczyzna;Podlaskie;53.4500;23.1667
Aurelin;Lubelskie;50.9333;23.6833
Aurelów;Śląskie;50.9167;19.3500
Awajki;Warmińsko-Mazurskie;53.9500;19.6833
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Baba;Mazowieckie;53.3000;21.6000
Baba;Kujawsko-Pomorskie;53.0000;19.5833
Babańce;Podlaskie;54.1333;23.3167
Babczów;Kujawsko-Pomorskie;51.0667;19.6667
Babczyzna;Lubelskie;51.6500;22.5000
Babi Dół;Pomorskie;54.3000;18.3167
Babi Las;Opolskie;50.7667;17.7833
Babia Góra;Podlaskie;52.8833;23.8833
Babia Góra;Śląskie;50.8000;19.3500
Babiak;Warmińsko-Mazurskie;54.1786;20.3589
Babiak;Wielkopolskie;52.3500;18.6667
Babiaki;Podkarpackie;50.0000;22.9667
Babianka;Lubelskie;51.5167;22.8167
Babiarze;Podkarpackie;50.3500;22.2333
Babica;Podkarpackie;49.9333;21.9167
Babice;Mazowieckie;52.2500;20.8500
Babice;Mazowieckie;51.7000;21.8667
Babice;Lubelskie;50.3500;22.9167
Babice;Podkarpackie;49.8167;22.4667
Babice;Kujawsko-Pomorskie;51.7667;19.2500
Babice;Opolskie;50.1667;17.9167
Babice;Śląskie;50.1333;18.3000
Babice;Śląskie;50.0667;19.4500
babice;Śląskie;50.0500;19.2000
Babice;Śląskie;49.9167;19.5500
Babice Duże;Kujawsko-Pomorskie;51.7667;19.2500
Babice Małe;Kujawsko-Pomorskie;51.7833;19.2667
Babice Nowe;Mazowieckie;52.2333;20.8500
Babicha;Podkarpackie;50.3833;21.4333
Babichy;Kujawsko-Pomorskie;51.6500;19.4833
Babie Doły;Polska;54.5833;18.5333
Babie Ławy;Kujawsko-Pomorskie;52.8667;19.4167
Babiec;Mazowieckie;52.8833;19.6333
Babiec Piaseczny;Mazowieckie;52.8833;19.7167
Babienica;Śląskie;50.6333;18.9667
Babieniec;Warmińsko-Mazurskie;54.1000;21.1833
Babięta;Warmińsko-Mazurskie;53.6833;21.2667
Babięty;Warmińsko-Mazurskie;53.7333;21.1333
Babięty Małe;Warmińsko-Mazurskie;53.6667;19.3833
Babigoszcz;Zachodniopomorskie;53.6833;14.8167
Babiki;Podlaskie;53.3667;23.7167
Babilon;Mazowieckie;51.1667;21.6333
Babimost;Lubuskie;52.1667;15.8167
Babin;Mazowieckie;51.3333;21.7167
Babin;Lubelskie;51.1667;22.3500
Babin;Zachodniopomorskie;53.2333;14.7333
Babin;Wielkopolskie;52.3333;17.8833
Babin;Wielkopolskie;52.2833;17.2833
Babin Holendry;Wielkopolskie;52.3333;17.8667
Babinek;Zachodniopomorskie;53.1333;14.5333
Babino;Podlaskie;53.1667;22.9167
Babki;Podlaskie;54.2333;22.4667
Babki;Warmińsko-Mazurskie;54.2667;19.0500
Babki;Wielkopolskie;52.3167;16.9333
Babki Gąseckie;Podlaskie;53.9167;22.5000
Babki Oleckie;Podlaskie;54.0833;22.5000
Babkowice;Wielkopolskie;51.7833;17.1500
Bablin;Wielkopolskie;52.6833;16.7167
Baborowo;Wielkopolskie;52.5833;16.6500
Baborów;Opolskie;50.1667;18.0000
Baborówko;Wielkopolskie;52.5833;16.6333
Baboszewo;Mazowieckie;52.6833;20.2667
Babrosty;Podlaskie;53.6333;21.8833
Babsk;Kujawsko-Pomorskie;51.8333;20.3500
Babskie Budy;Kujawsko-Pomorskie;52.1096;20.2699
Babule;Podkarpackie;50.4000;21.5333
Baby;Mazowieckie;52.8167;20.6000
Baby;Mazowieckie;52.3000;19.0500
Baby;Kujawsko-Pomorskie;51.5333;19.7167
Baby;Śląskie;50.9667;19.3167
Baby Nowe;Mazowieckie;52.3000;19.0667
Baby Stare;Mazowieckie;52.3000;19.0500
Bachanowo;Podlaskie;54.2500;22.8000
Bacharowice;Śląskie;49.9333;19.5833
Bachlowa;Podkarpackie;49.4333;22.3500
Bachmatówka;Podlaskie;53.4000;23.4000
Bachory;Podkarpackie;50.1167;22.9167
Bachorza;Podlaskie;53.9667;21.6000
Bachorza;Kujawsko-Pomorskie;52.7333;18.6333
Bachorzew;Wielkopolskie;52.0000;17.5500
Bachorzewo;Kujawsko-Pomorskie;52.6500;19.2667
Bachorzyn;Kujawsko-Pomorskie;51.5000;19.1833
Bachotek;Kujawsko-Pomorskie;53.3167;19.4667
Bachowice;Śląskie;49.9667;19.5000
Bachórce;Kujawsko-Pomorskie;52.6667;18.4167
Bachórz;Podkarpackie;49.8333;22.2833
Bachórzec;Podkarpackie;49.8333;22.3333
Bachów;Podkarpackie;49.8000;22.5000
Bachury;Podlaskie;52.9667;23.7833
Bachus;Lubelskie;51.3167;23.4000
Bacieczki;Podlaskie;53.1500;23.1000
Baciki Bliższe;Podlaskie;52.4500;22.9167
Baciki Dalsze;Podlaskie;52.4667;22.9167
Baciki Średnie;Podlaskie;52.4500;22.9000
Baciuty;Podlaskie;53.0667;22.9667
Bacze;Mazowieckie;52.9333;20.7167
Bacze Mokre;Podlaskie;53.0333;22.1333
Bacze Suche;Podlaskie;53.0833;22.1167
Baczki;Mazowieckie;52.5333;21.7833
Baczki;Mazowieckie;52.3667;22.4500
Baczki Fabryczne;Mazowieckie;52.5333;21.7333
Baczki Nowe;Mazowieckie;52.5333;21.7667
Baczki Stare;Mazowieckie;52.5333;21.8000
Baczków;Mazowieckie;51.8833;21.9167
Baczków;Małopolskie;50.0333;20.4500
Baczyn;Śląskie;49.8000;19.7333
Baczyna;Świętokrzyskie;51.2333;20.5333
Baczyna;Małopolskie;52.7500;15.1000
Baćkowice;Podkarpackie;50.8000;21.2333
Badów Górny;Kujawsko-Pomorskie;51.9500;20.5333
Badrzychowice;Świętokrzyskie;50.3500;20.7833
Badze;Warmińsko-Mazurskie;54.2333;20.5667
Bagatela;Lubelskie;50.8167;22.9833
Bagicz;Zachodniopomorskie;54.2000;15.7000
Bagienica;Kujawsko-Pomorskie;53.4667;17.7833
Bagienice;Warmińsko-Mazurskie;53.8500;21.2333
Bagienice;Podlaskie;53.5333;22.4000
Bagienice;Podlaskie;53.3667;22.2500
Bagienice;Mazowieckie;53.0667;21.2000
Bagienice Duże;Mazowieckie;53.1500;20.0167
Bagienice Folwark;Mazowieckie;53.0667;21.1833
Bagienice Małe;Warmińsko-Mazurskie;53.8667;21.2500
Bagienice Małe;Mazowieckie;53.1500;20.0333
Bagienice Nowe;Mazowieckie;53.1500;19.9833
Bagienice Szlacheckie;Mazowieckie;53.0500;21.2000
Bagienice Wielkie;Mazowieckie;53.2667;20.8667
Bagieńskie;Podlaskie;53.5667;21.9833
Bagieńskie;Podlaskie;53.5000;22.1333
Bagińskie;Podlaskie;52.8333;22.9500
Bagińskie Nowe;Podlaskie;52.8333;22.9500
Bagińskie Stare;Podlaskie;52.8333;22.9500
Bagleniec;Dolnośląskie;50.9000;16.4833
Bagna;Zachodniopomorskie;53.5333;15.1667
Bagna;Śląskie;50.8833;18.7167
Bagniewko;Kujawsko-Pomorskie;53.3500;18.2500
Bagniewo;Kujawsko-Pomorskie;53.3667;18.2500
Bagnity;Warmińsko-Mazurskie;53.8500;19.7500
Bagno;Podlaskie;53.4500;22.9333
Bagno;Lubelskie;50.6333;22.9667
Bagno;Małopolskie;49.9833;20.6167
Bagno;Kujawsko-Pomorskie;53.5167;19.5333
Bagno;Kujawsko-Pomorskie;53.0500;17.8500
Bagno;Kujawsko-Pomorskie;52.4167;19.1500
Bagno;Wielkopolskie;52.3000;18.4667
Bagno;Wielkopolskie;52.0667;18.2667
Bagno;Dolnośląskie;51.3333;16.8167
Bagno;Kujawsko-Pomorskie;51.3000;19.7000
Bagno;Śląskie;50.6167;18.9000
Bagnówka;Podlaskie;53.1500;23.2167
Bagny;Podlaskie;53.6333;23.2333
Bajdy;Podkarpackie;49.7667;21.6667
Bajdy;Podkarpackie;49.7000;21.4667
Bajdy;Warmińsko-Mazurskie;53.8667;19.5500
Bajdyty;Warmińsko-Mazurskie;54.1547;20.9736
Bajerowka;Śląskie;50.0333;18.6833
Bajerze;Kujawsko-Pomorskie;53.2500;18.4500
